,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Discipline,Start,Finish,Duration,UnitCost
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aaf8,Walls,,MURO_TIPOA5,MURO_TIPOA5: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab1a,Walls,,MURO_TIPOB7,MURO_TIPOB7: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab6b,Walls,,MURO_TIPOA6,MURO_TIPOA6: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ab8d,Walls,,MURO_TIPOB8,MURO_TIPOB8: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004abd6,Walls,,MURO_TIPOA7,MURO_TIPOA7: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004abf8,Walls,,MURO_TIPOB9,MURO_TIPOB9: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac1a,Walls,,MURO_TIPOB10,MURO_TIPOB10: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac5d,Walls,,MURO_TIPOA8,MURO_TIPOA8: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ac7f,Walls,,MURO_TIPOB11,MURO_TIPOB11: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aca1,Walls,,MURO_TIPOB12,MURO_TIPOB12: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004acd4,Walls,,MURO_TIPOA9,MURO_TIPOA9: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004acf6,Walls,,MURO_TIPOB13,MURO_TIPOB13: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad18,Walls,,MURO_TIPOB14,MURO_TIPOB14: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad6f,Walls,,MURO_TIPOA10,MURO_TIPOA10: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ad91,Walls,,MURO_TIPOB15,MURO_TIPOB15: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004adb3,Walls,,MURO_TIPOB16,MURO_TIPOB16: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004add7,Walls,,MURO_TIPOA11,MURO_TIPOA11: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004adf9,Walls,,MURO_TIPOB17,MURO_TIPOB17: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae1b,Walls,,MURO_TIPOB18,MURO_TIPOB18: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae45,Walls,,MURO_TIPOA12,MURO_TIPOA12: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae67,Walls,,MURO_TIPOB19,MURO_TIPOB19: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ae89,Walls,,MURO_TIPOB20,MURO_TIPOB20: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aead,Walls,,MURO_TIPOA13,MURO_TIPOA13: MURO_TIPOA,TIPO_A,MURO_TIPOA,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aecf,Walls,,MURO_TIPOB21,MURO_TIPOB21: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004aef1,Walls,,MURO_TIPOB22,MURO_TIPOB22: MURO_TIPOB,TIPO_B,MURO_TIPOB,,B2010.40,Emsamble de Muros Exteriores Pre-Fabricados,,16,24,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004af38,Structural Foundations,,Foundation Slab,Foundation Slab: LOSA e=10cm,,LOSA e=10cm,,A1020.60,Cimentaciones de Losa,,10,16,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b156,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b2d1,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b2dc,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b35d,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b3bc,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004b3c5,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004c815,Windows,,Ventana corredera de 2 hojas 2,Ventana corredera de 2 hojas 2: 110x100cm,1,110x100cm,35,C1020.10,Ventanas Operables Interiores,,40,41,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004ca07,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004d864,Windows,,Bastidor de ventanillo simple 2,Bastidor de ventanillo simple 2: 110x61cm,2,110x61cm,32,C1020.10,Ventanas Operables Interiores,,40,41,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004d99b,Windows,,Ventana corredera de 2 hojas 2,Ventana corredera de 2 hojas 2: 110x100cm,3,110x100cm,35,C1020.10,Ventanas Operables Interiores,,40,41,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004db1e,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
7d3dc12e-51fd-4446-a9b2-6d0588e4a18e-0004dc8c,Doors,,Door-Interior-Single-1_Panel-Wood,Door-Interior-Single-1_Panel-Wood: 70x220mm,1,70x220mm,29,C1030.20,Puertas de Entrada Interiores,,38,39,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004df70,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004df71,Doors,,Door-Interior-Single-1_Panel-Wood,Door-Interior-Single-1_Panel-Wood: 70x220mm,3,70x220mm,29,C1030.20,Puertas de Entrada Interiores,,39,40,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004dfd6,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004dfd7,Windows,,Ventana corredera de 2 hojas 2,Ventana corredera de 2 hojas 2: 110x100cm,4,110x100cm,35,C1020.10,Ventanas Operables Interiores,,40,41,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e0b6,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e0fc,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e1da,Doors,,Door-Interior-Single-1_Panel-Wood,Door-Interior-Single-1_Panel-Wood: 70x220mm,4,70x220mm,29,C1030.20,Puertas de Entrada Interiores,,39,40,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e20d,Doors,,Door-Interior-Single-1_Panel-Wood,Door-Interior-Single-1_Panel-Wood: 70x220mm,5,70x220mm,29,C1030.20,Puertas de Entrada Interiores,,39,40,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e291,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e292,Windows,,Ventana corredera de 2 hojas 2,Ventana corredera de 2 hojas 2: 110x100cm,5,110x100cm,35,C1020.10,Ventanas Operables Interiores,,40,41,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e29c,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
4860e3b5-6ecd-415d-98f2-993cc41512e5-0004e29d,Windows,,Ventana corredera de 2 hojas 2,Ventana corredera de 2 hojas 2: 110x100cm,6,110x100cm,35,C1020.10,Ventanas Operables Interiores,,40,41,,
d0ea1dc5-9f45-4a6c-83f6-93fedba6ffe5-0004e3c4,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
d0ea1dc5-9f45-4a6c-83f6-93fedba6ffe5-0004eab7,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
d0ea1dc5-9f45-4a6c-83f6-93fedba6ffe5-0004eb5b,Doors,,Puerta plegable de cuatro hojas,Puerta plegable de cuatro hojas: 1220 x 2200mm,6,1220 x 2200mm,28,C1030.30,Puertas Plegables Interiores,,39,40,,
dd08301f-762b-42b0-9ec5-5ab650d68ce7-0005197b,Floors,,Floor,Floor: Tarima,,Tarima,,C2030.45,Suelos de Madera,,41,42,,
dd08301f-762b-42b0-9ec5-5ab650d68ce7-000526bf,Railings,,Railing,Railing: Glass Panel - Bottom Fill,,Glass Panel - Bottom Fill,,E2010.90,Otros Mobiliarios Fijos,,,,,
7a17b70b-361c-4bbe-a8d8-4df5d5fe80a4-00053ce7,Plumbing Fixtures,,Toilet-Domestic-3D,Toilet-Domestic-3D: Toilet-Domestic-3D-NT,1,Toilet-Domestic-3D-NT,,D2010.60,Accesorios de Fontanería,,42,43,,
a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054cb8,Furniture,,Bed-Box,Bed-Box: 120x180,,120x180,,E2050.30,Muebles,,43,44,,
a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054ee9,Furniture,,Bed-Box,Bed-Box: 90x180,,90x180,,E2050.30,Muebles,,43,44,,
a81f9b67-96d6-4e5f-a601-9d6636aa17dc-00054efb,Furniture,,Bed-Box,Bed-Box: 90x180,,90x180,,E2050.30,Muebles,,43,44,,
2fc7e0f7-552d-4c51-abaf-f13c30f074b3-000556e0,Furniture,,Meson,Meson: Meson,,Meson,,E2050.30,Muebles,,40,41,,
2fc7e0f7-552d-4c51-abaf-f13c30f074b3-00055bec,Furniture,,Sofa-Pensi,Sofa-Pensi: 65",,65",,E2050.30,Muebles,,43,44,,
24da2748-7198-4d74-a0fc-c0e2167153ad-000575b3,Generic Models,,CP2,CP2: CP2,P2,CP2,,C1040.50,Puertas Interiores,,38,39,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00057a7e,Generic Models,,EST_CUB,EST_CUB: EST_CUB,,EST_CUB,CUBIERTA,B1020.10,Marco Estructural del Techo,,25,32,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00057f32,Generic Models,,P2,P2: P2,PC,P2,,C1040.50,Puertas Interiores,,38,39,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058210,Generic Models,,P2,P2: P2,PC,P2,,C1040.50,Puertas Interiores,,38,39,,
24da2748-7198-4d74-a0fc-c0e2167153ad-0005836f,Generic Models,,CP2,CP2: CP2,P2,CP2,,C1040.50,Puertas Interiores,,38,39,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058657,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-0005879b,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-0005899c,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058a35,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058c53,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058daa,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058e80,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
24da2748-7198-4d74-a0fc-c0e2167153ad-00058f92,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,,18,25,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005942d,Furniture,,Table-Night Stand,Table-Night Stand: 18" x 18" x 24",,18" x 18" x 24",,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-00059580,Furniture,,Table-Night Stand,Table-Night Stand: 18" x 18" x 24",,18" x 18" x 24",,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-00059594,Furniture,,Table-Night Stand,Table-Night Stand: 18" x 18" x 24",,18" x 18" x 24",,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005a964,Furniture,,M_Table-Dining,M_Table-Dining: 900x900,,900x900,,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b4fe,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b557,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b5c2,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,,43,44,,
feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b641,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,,43,44,,
06bd4695-c692-4e49-b58b-68194067f901-0005c334,Plumbing Fixtures,,Plato de ducha-3D,Plato de ducha-3D: 700 x 900mm,2,700 x 900mm,,D2010.60,Accesorios de Fontanería,,42,43,,
06bd4695-c692-4e49-b58b-68194067f901-0005c337,Plumbing Fixtures,,Ducha,Ducha: Ducha,3,Ducha,,D2010.60,Accesorios de Fontanería,,40,41,,
06bd4695-c692-4e49-b58b-68194067f901-0005cdcb,Plumbing Fixtures,,Fregadero de lavabo - Moderno,Fregadero de lavabo - Moderno: 440 x 350 mm,4,440 x 350 mm,,D2010.60,Accesorios de Fontanería,,42,43,,
06bd4695-c692-4e49-b58b-68194067f901-0005d149,Plumbing Fixtures,,Fregadero de cocina - Uno,Fregadero de cocina - Uno: 760 x 535 mm,5,760 x 535 mm,,E2050.30,Muebles,,42,43,,
06bd4695-c692-4e49-b58b-68194067f901-0005d5bc,Specialty Equipment,,Refrigerador,Refrigerador: 850 x 760mm,,850 x 760mm,,E1060.10,Electrodomésticos Residenciales,,43,44,,
06bd4695-c692-4e49-b58b-68194067f901-0005d86f,Specialty Equipment,,Cocina encimera - 2 fuegos,Cocina encimera - 2 fuegos: 305 x 457mm,,305 x 457mm,,E2050.30,Muebles,,43,44,,
8b3706fd-78af-469a-8beb-208f225cd6f7-0005dd20,Furniture,,Módulo de estantería,Módulo de estantería: 1000 x 400 mm,,1000 x 400 mm,,E2050.30,Muebles,,43,44,,
8b3706fd-78af-469a-8beb-208f225cd6f7-0005e1dd,Specialty Equipment,,Lavadora,Lavadora: 680 x 635 x 890mm,,680 x 635 x 890mm,,E1060.10,Electrodomésticos Residenciales,,43,44,,
07697385-66aa-41c6-8b11-86ab95d15683-0005f445,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,,32,36,,
07697385-66aa-41c6-8b11-86ab95d15683-0005f823,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,,32,36,,
07697385-66aa-41c6-8b11-86ab95d15683-000602f5,Roofs,,Basic Roof,Basic Roof: Generic -70mm,,Generic -70mm,,B1020.20,Techos. Losas y Revestimientos del Techo,,32,36,,
07697385-66aa-41c6-8b11-86ab95d15683-000604a0,Roofs: Gutters,,Gutter,Gutter: Gutter,,Gutter,,D2030.20,Tuberías de Drenaje de Aguas Pluviales,,36,38,,
e33cd99d-2162-409e-8dec-09e6ab3f8bac-00060eec,Structural Framing,,M_Concrete-Rectangular Beam,M_Concrete-Rectangular Beam: 40x8cm,,40x8cm,,F1010.70,Entrepisos Modulares,,18,25,,
e33cd99d-2162-409e-8dec-09e6ab3f8bac-00060f3c,Structural Framing,,M_Concrete-Rectangular Beam,M_Concrete-Rectangular Beam: 40x8cm,,40x8cm,,F1010.70,Entrepisos Modulares,,18,25,,
e33cd99d-2162-409e-8dec-09e6ab3f8bac-00060f71,Structural Framing,,M_Concrete-Rectangular Beam,M_Concrete-Rectangular Beam: 40x8cm,,40x8cm,,F1010.70,Entrepisos Modulares,,18,25,,
e33cd99d-2162-409e-8dec-09e6ab3f8bac-00060f8b,Structural Framing,,M_Concrete-Rectangular Beam,M_Concrete-Rectangular Beam: 40x8cm,,40x8cm,,F1010.70,Entrepisos Modulares,,18,25,,
