,Category,Description,Family,Family and Type,Mark,Type,Type Mark,Assembly Code,Assembly Description,Revit.ElementId
79,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058657
80,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-0005879b
81,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-0005899c
82,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058a35
83,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058c53
84,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058daa
85,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058e80
86,Walls,,Basic Wall,Basic Wall: Generic - 100mm,,Generic - 100mm,,C1010.10,Divisiones Fijas Interiores,24da2748-7198-4d74-a0fc-c0e2167153ad-00058f92
87,Furniture,,Table-Night Stand,Table-Night Stand: 18  x 18  x 24 ,,18  x 18  x 24 ,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005942d
88,Furniture,,Table-Night Stand,Table-Night Stand: 18  x 18  x 24 ,,18  x 18  x 24 ,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-00059580
89,Furniture,,Table-Night Stand,Table-Night Stand: 18  x 18  x 24 ,,18  x 18  x 24 ,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-00059594
90,Furniture,,M_Table-Dining,M_Table-Dining: 900x900,,900x900,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005a964
91,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b4fe
92,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b557
93,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b5c2
94,Furniture,,Taburete (1),Taburete (1): 420 x 420 mm,,420 x 420 mm,,E2050.30,Muebles,feed3c76-5587-48a0-b970-bf621d6e3e3e-0005b641
95,Plumbing Fixtures,,Plato de ducha-3D,Plato de ducha-3D: 700 x 900mm,2,700 x 900mm,,D2010.60,Accesorios de Fontanería,06bd4695-c692-4e49-b58b-68194067f901-0005c334
96,Plumbing Fixtures,,Ducha,Ducha: Ducha,3,Ducha,,D2010.60,Accesorios de Fontanería,06bd4695-c692-4e49-b58b-68194067f901-0005c337
